time,type,price,shares,note
2020-01-02,buy,4.21,7054,建立基础仓位
2020-01-03,sell,4.205,3527,减少基础仓位
2020-01-03,sell,4.205,3527,
2020-02-20,buy,4.198,7072,增加基础仓位
2020-02-21,sell,4.212,3536,减少基础仓位
2020-02-21,sell,4.212,3536,
2020-03-05,buy,4.256,6982,增加基础仓位
2020-03-11,sell,4.069,3491,减少基础仓位
2020-03-11,sell,4.069,3491,
2020-04-14,buy,3.867,7584,增加基础仓位
2020-05-19,sell,4.005,3792,减少基础仓位
2020-05-19,sell,4.005,3792,
2020-06-03,buy,4.045,7328,增加基础仓位
2020-06-11,sell,4.073,3664,减少基础仓位
2020-06-11,sell,4.073,3664,
2020-06-19,buy,4.152,7153,增加基础仓位
2020-06-24,sell,4.231,3576,减少基础仓位
2020-06-24,sell,4.231,3576,
2020-06-29,buy,4.195,7120,增加基础仓位
2020-07-01,sell,4.342,3560,减少基础仓位
2020-07-01,sell,4.342,3560,
2020-09-01,buy,4.993,6044,增加基础仓位
2020-09-04,sell,4.92,3022,减少基础仓位
2020-09-04,sell,4.92,3022,
2020-10-13,buy,4.835,6214,增加基础仓位
2020-10-30,sell,4.685,3107,减少基础仓位
2020-10-30,sell,4.685,3107,
2020-11-05,buy,4.876,6105,增加基础仓位
2020-11-26,sell,4.906,3052,减少基础仓位
2020-11-26,sell,4.906,3052,
2020-11-27,buy,4.977,5992,增加基础仓位
2020-12-09,sell,4.94,2996,减少基础仓位
2020-12-09,sell,4.94,2996,
2020-12-28,buy,5.05,5892,增加基础仓位
2020-12-31,sell,5.2,2946,减少基础仓位
2020-12-31,sell,5.2,2946,
2021-01-18,buy,5.496,5462,增加基础仓位
2021-01-20,sell,5.451,2731,减少基础仓位
2021-01-20,sell,5.451,2731,
2021-01-25,buy,5.604,5344,增加基础仓位
2021-01-26,sell,5.495,2672,减少基础仓位
2021-01-26,sell,5.495,2672,
2021-02-10,buy,5.797,5136,增加基础仓位
2021-02-23,sell,5.555,2568,减少基础仓位
2021-02-23,sell,5.555,2568,
2021-04-02,buy,5.141,5720,增加基础仓位
2021-04-12,sell,4.941,2860,减少基础仓位
2021-04-12,sell,4.941,2860,
2021-04-23,buy,5.122,5674,增加基础仓位
2021-05-10,sell,4.984,2837,减少基础仓位
2021-05-10,sell,4.984,2837,
2021-05-17,buy,5.17,5577,增加基础仓位
2021-05-27,sell,5.333,2788,减少基础仓位
2021-05-27,sell,5.333,2788,
2021-09-07,buy,5.055,5757,增加基础仓位
2021-09-16,sell,4.817,2878,减少基础仓位
2021-09-16,sell,4.817,2878,
2021-10-21,buy,4.923,5828,增加基础仓位
2021-11-01,sell,4.89,2914,减少基础仓位
2021-11-01,sell,4.89,2914,
2021-11-23,buy,4.905,5838,增加基础仓位
2021-11-30,sell,4.841,2919,减少基础仓位
2021-11-30,sell,4.841,2919,
2021-12-07,buy,4.921,5796,增加基础仓位
2021-12-08,sell,4.997,2898,减少基础仓位
2021-12-08,sell,4.997,2898,
2021-12-10,buy,5.055,5669,增加基础仓位
2021-12-20,sell,4.881,2834,减少基础仓位
2021-12-20,sell,4.881,2834,
2022-04-11,buy,4.105,6909,增加基础仓位
2022-04-12,sell,4.171,3454,减少基础仓位
2022-04-12,sell,4.171,3454,
2022-05-20,buy,4.08,6984,增加基础仓位
2022-06-14,sell,4.235,3492,减少基础仓位
2022-06-14,sell,4.235,3492,
2022-06-23,buy,4.368,6597,增加基础仓位
2022-07-07,sell,4.472,3298,减少基础仓位
2022-07-07,sell,4.472,3298,
2022-11-11,buy,3.855,7528,增加基础仓位
2022-12-09,sell,4.063,3764,减少基础仓位
2022-12-09,sell,4.063,3764,
2022-12-12,buy,4.018,7338,增加基础仓位
2022-12-16,sell,4.014,3669,减少基础仓位
2022-12-16,sell,4.014,3669,
2023-01-06,buy,4.05,7278,增加基础仓位
2023-01-10,sell,4.081,3639,减少基础仓位
2023-01-10,sell,4.081,3639,
2023-03-31,buy,4.119,7172,增加基础仓位
2023-04-06,sell,4.158,3586,减少基础仓位
2023-04-06,sell,4.158,3586,
2023-04-11,buy,4.163,7116,增加基础仓位
2023-04-18,sell,4.226,3558,减少基础仓位
2023-04-18,sell,4.226,3558,
2023-04-19,buy,4.193,7097,增加基础仓位
2023-04-21,sell,4.102,3548,减少基础仓位
2023-04-21,sell,4.102,3548,
2023-06-15,buy,4.01,7373,增加基础仓位
2023-06-29,sell,3.928,3686,减少基础仓位
2023-06-29,sell,3.928,3686,
2023-07-03,buy,3.995,7355,增加基础仓位
2023-07-11,sell,3.98,3677,减少基础仓位
2023-07-11,sell,3.98,3677,
2023-07-14,buy,4.024,7294,增加基础仓位
2023-07-21,sell,3.96,3647,减少基础仓位
2023-07-21,sell,3.96,3647,
2023-07-25,buy,4.054,7206,增加基础仓位
2023-08-11,sell,4.026,3603,减少基础仓位
2023-08-11,sell,4.026,3603,
2023-12-29,buy,3.56,8189,增加基础仓位
2024-01-08,sell,3.418,4094,减少基础仓位
2024-01-08,sell,3.418,4094,
