time,type,price,shares,note
2024-01-29,buy,3.425,5781,建立基础仓位
2024-01-29,sell,3.425,2890,减少基础仓位
2024-01-29,sell,3.425,2890,
2024-01-30,buy,3.374,5868,增加基础仓位
2024-02-01,sell,3.346,2934,减少基础仓位
2024-02-01,sell,3.346,2934,
2024-02-08,buy,3.506,5637,增加基础仓位
2024-03-05,sell,3.705,5637,
2024-03-06,buy,3.684,5425,增加基础仓位
2024-03-27,sell,3.634,2712,减少基础仓位
2024-03-27,sell,3.634,2712,
2024-04-08,buy,3.668,5434,增加基础仓位
2024-04-10,sell,3.637,2717,减少基础仓位
2024-04-10,sell,3.637,2717,
2024-04-19,buy,3.67,5422,增加基础仓位
2024-04-24,sell,3.65,2711,减少基础仓位
2024-04-24,sell,3.65,2711,
2024-04-29,buy,3.76,5287,增加基础仓位
2024-05-28,sell,3.751,2643,减少基础仓位
2024-05-28,sell,3.751,2643,
2024-07-15,buy,3.663,5424,增加基础仓位
2024-07-26,sell,3.611,2712,减少基础仓位
2024-07-26,sell,3.611,2712,
2024-09-26,buy,3.726,5317,增加基础仓位
2024-09-27,sell,3.992,5317,
2024-09-30,buy,4.331,4639,增加基础仓位
2024-10-08,sell,4.551,4639,
2024-10-09,buy,4.136,4907,增加基础仓位
2024-10-15,sell,4.037,4907,
2024-10-16,buy,4.006,5042,增加基础仓位
2024-10-31,sell,4.075,2521,减少基础仓位
2024-10-31,sell,4.075,2521,
2024-11-05,buy,4.238,4782,增加基础仓位
2024-11-18,sell,4.142,4782,
2024-11-19,buy,4.164,4845,增加基础仓位
2024-11-20,sell,4.172,2422,减少基础仓位
2024-11-20,sell,4.172,2422,
2024-12-10,buy,4.187,4820,增加基础仓位
2024-12-16,sell,4.1,4820,
2024-12-17,buy,4.108,4893,增加基础仓位
2024-12-20,sell,4.121,2446,减少基础仓位
2024-12-20,sell,4.121,2446,
2024-12-24,buy,4.175,4817,增加基础仓位
