time,type,price,shares,note
2023-01-03,buy,3.953,7513,建立基础仓位
2023-01-20,sell,4.253,3756,减少基础仓位
2023-01-20,sell,4.253,3756,
2023-03-31,buy,4.119,7372,增加基础仓位
2023-04-06,sell,4.158,3686,减少基础仓位
2023-04-06,sell,4.158,3686,
2023-04-11,buy,4.163,7315,增加基础仓位
2023-04-18,sell,4.226,3657,减少基础仓位
2023-04-18,sell,4.226,3657,
2023-04-19,buy,4.193,7295,增加基础仓位
2023-04-21,sell,4.102,3647,减少基础仓位
2023-04-21,sell,4.102,3647,
2023-06-15,buy,4.01,7578,增加基础仓位
2023-06-29,sell,3.928,3789,减少基础仓位
2023-06-29,sell,3.928,3789,
2023-07-03,buy,3.995,7561,增加基础仓位
2023-07-11,sell,3.98,3780,减少基础仓位
2023-07-11,sell,3.98,3780,
2023-07-14,buy,4.024,7497,增加基础仓位
2023-07-21,sell,3.96,3748,减少基础仓位
2023-07-21,sell,3.96,3748,
2023-07-25,buy,4.054,7406,增加基础仓位
2023-08-11,sell,4.026,3703,减少基础仓位
2023-08-11,sell,4.026,3703,
2023-12-29,buy,3.56,8417,增加基础仓位
2024-01-08,sell,3.418,4208,减少基础仓位
2024-01-08,sell,3.418,4208,
2024-02-08,buy,3.506,8445,增加基础仓位
2024-02-27,sell,3.623,4222,减少基础仓位
2024-02-27,sell,3.623,4222,
2024-03-11,buy,3.722,8033,增加基础仓位
2024-03-19,sell,3.71,4016,减少基础仓位
2024-03-19,sell,3.71,4016,
2024-04-29,buy,3.76,7944,增加基础仓位
2024-05-24,sell,3.745,3972,减少基础仓位
2024-05-24,sell,3.745,3972,
2024-07-16,buy,3.688,8090,增加基础仓位
2024-07-25,sell,3.596,4045,减少基础仓位
2024-07-25,sell,3.596,4045,
2024-09-26,buy,3.726,7948,增加基础仓位
2024-09-27,sell,3.992,3974,减少基础仓位
2024-09-27,sell,3.992,3974,
2024-10-09,buy,4.136,7312,增加基础仓位
2024-10-24,sell,4.111,3656,减少基础仓位
2024-10-24,sell,4.111,3656,
2024-11-08,buy,4.307,7009,增加基础仓位
2024-11-13,sell,4.302,3504,减少基础仓位
2024-11-13,sell,4.302,3504,
2024-12-12,buy,4.22,7151,增加基础仓位
2024-12-16,sell,4.1,3575,减少基础仓位
2024-12-16,sell,4.1,3575,
2024-12-26,buy,4.18,7158,增加基础仓位
2025-01-02,sell,4.004,3579,减少基础仓位
2025-01-02,sell,4.004,3579,
