time,type,price,shares,note
2024-01-02,buy,3.515,4224,建立基础仓位
2024-01-03,sell,3.509,2112,减少基础仓位
2024-01-03,sell,3.509,2112,
2024-01-25,buy,3.469,4279,增加基础仓位
2024-01-31,sell,3.348,2139,减少基础仓位
2024-01-31,sell,3.348,2139,
2024-02-07,buy,3.477,4247,增加基础仓位
2024-02-27,sell,3.623,2123,减少基础仓位
2024-02-27,sell,3.623,2123,
2024-03-07,buy,3.66,4060,增加基础仓位
2024-03-11,sell,3.722,2030,减少基础仓位
2024-03-11,sell,3.722,2030,
2024-03-12,buy,3.73,3994,增加基础仓位
2024-03-15,sell,3.7,1997,减少基础仓位
2024-03-15,sell,3.7,1997,
2024-03-18,buy,3.737,3981,增加基础仓位
2024-03-19,sell,3.71,1990,减少基础仓位
2024-03-19,sell,3.71,1990,
2024-04-29,buy,3.76,3953,增加基础仓位
2024-05-07,sell,3.795,1976,减少基础仓位
2024-05-07,sell,3.795,1976,
2024-05-08,buy,3.762,3956,增加基础仓位
2024-05-16,sell,3.779,1978,减少基础仓位
2024-05-16,sell,3.779,1978,
2024-05-21,buy,3.817,3901,增加基础仓位
2024-05-24,sell,3.745,1950,减少基础仓位
2024-05-24,sell,3.745,1950,
2024-07-12,buy,3.658,4059,增加基础仓位
2024-07-25,sell,3.596,2029,减少基础仓位
2024-07-25,sell,3.596,2029,
2024-09-24,buy,3.512,4217,增加基础仓位
2024-09-26,sell,3.726,2108,减少基础仓位
2024-09-26,sell,3.726,2108,
2024-10-11,buy,4.069,3673,增加基础仓位
2024-10-14,sell,4.142,1836,减少基础仓位
2024-10-14,sell,4.142,1836,
2024-10-15,buy,4.037,3712,增加基础仓位
2024-10-24,sell,4.111,1856,减少基础仓位
2024-10-24,sell,4.111,1856,
2024-11-08,buy,4.307,3488,增加基础仓位
2024-11-13,sell,4.302,1744,减少基础仓位
2024-11-13,sell,4.302,1744,
2024-12-10,buy,4.187,3588,增加基础仓位
2024-12-12,sell,4.22,1794,减少基础仓位
2024-12-12,sell,4.22,1794,
2024-12-13,buy,4.12,3650,增加基础仓位
2024-12-16,sell,4.1,1825,减少基础仓位
2024-12-16,sell,4.1,1825,
2024-12-25,buy,4.175,3600,增加基础仓位
