time,type,price,shares
2023-02-06 00:00:00,buy,4.147,7161
2023-02-09 00:00:00,sell,4.197,7161
2023-03-06 00:00:00,buy,4.171,7263
2023-03-08 00:00:00,sell,4.098,7263
2023-03-29 00:00:00,buy,4.07,8815
2023-04-25 00:00:00,sell,4.031,8815
2023-06-15 00:00:00,buy,4.01,10289
2023-06-26 00:00:00,sell,3.911,10289
2023-06-27 00:00:00,buy,3.938,9939
2023-06-29 00:00:00,sell,3.928,9939
2023-07-03 00:00:00,buy,3.995,10110
2023-07-11 00:00:00,sell,3.98,10110
2023-07-14 00:00:00,buy,4.024,10924
2023-07-24 00:00:00,sell,3.941,10924
2023-07-25 00:00:00,buy,4.054,11196
2023-08-15 00:00:00,sell,3.989,11196
2023-09-06 00:00:00,buy,3.954,10364
2023-09-12 00:00:00,sell,3.903,10364
2023-11-06 00:00:00,buy,3.769,10812
2023-11-22 00:00:00,sell,3.676,10812
2023-12-29 00:00:00,buy,3.56,12087
