time,type,price,shares,note
2022-01-04,buy,4.915,3021,建立基础仓位
2022-01-05,sell,4.866,1510,减少基础仓位
2022-01-05,sell,4.866,1510,
2022-02-21,buy,4.629,3203,增加基础仓位
2022-02-22,sell,4.564,1601,减少基础仓位
2022-02-22,sell,4.564,1601,
2022-03-24,buy,4.249,3482,增加基础仓位
2022-03-28,sell,4.153,1741,减少基础仓位
2022-03-28,sell,4.153,1741,
2022-04-01,buy,4.268,3455,增加基础仓位
2022-04-06,sell,4.256,1727,减少基础仓位
2022-04-06,sell,4.256,1727,
2022-04-07,buy,4.206,3504,增加基础仓位
2022-04-11,sell,4.105,1752,减少基础仓位
2022-04-11,sell,4.105,1752,
2022-05-13,buy,3.983,3687,增加基础仓位
2022-06-06,sell,4.172,1843,减少基础仓位
2022-06-06,sell,4.172,1843,
2022-06-07,buy,4.18,3538,增加基础仓位
2022-06-08,sell,4.223,1769,减少基础仓位
2022-06-08,sell,4.223,1769,
2022-06-09,buy,4.191,3534,增加基础仓位
2022-06-14,sell,4.235,1767,减少基础仓位
2022-06-14,sell,4.235,1767,
2022-06-22,buy,4.29,3458,增加基础仓位
2022-06-23,sell,4.368,1729,减少基础仓位
2022-06-23,sell,4.368,1729,
2022-07-06,buy,4.458,3336,增加基础仓位
2022-07-07,sell,4.472,1668,减少基础仓位
2022-07-07,sell,4.472,1668,
2022-08-12,buy,4.26,3493,增加基础仓位
2022-08-24,sell,4.148,1746,减少基础仓位
2022-08-24,sell,4.148,1746,
2022-09-13,buy,4.179,3547,增加基础仓位
2022-09-16,sell,4.004,1773,减少基础仓位
2022-09-16,sell,4.004,1773,
2022-10-18,buy,3.896,3780,增加基础仓位
2022-10-20,sell,3.822,1890,减少基础仓位
2022-10-20,sell,3.822,1890,
2022-11-04,buy,3.835,3830,增加基础仓位
2022-11-17,sell,3.881,1915,减少基础仓位
2022-11-17,sell,3.881,1915,
2022-11-21,buy,3.836,3836,增加基础仓位
2022-11-24,sell,3.82,1918,减少基础仓位
2022-11-24,sell,3.82,1918,
2022-11-29,buy,3.91,3761,增加基础仓位
2022-12-09,sell,4.063,1880,减少基础仓位
2022-12-09,sell,4.063,1880,
2022-12-12,buy,4.018,3681,增加基础仓位
2022-12-14,sell,4.018,1840,减少基础仓位
2022-12-14,sell,4.018,1840,
2022-12-15,buy,4.014,3684,增加基础仓位
2022-12-16,sell,4.014,1842,减少基础仓位
2022-12-16,sell,4.014,1842,
