time,type,price,shares,note
2024-01-02,buy,3.515,8449,建立基础仓位
2024-01-03,sell,3.509,4224,减少基础仓位
2024-01-03,sell,3.509,4224,
2024-02-08,buy,3.506,8466,增加基础仓位
2024-02-27,sell,3.623,4233,减少基础仓位
2024-02-27,sell,3.623,4233,
2024-03-11,buy,3.722,8054,增加基础仓位
2024-03-15,sell,3.7,4027,减少基础仓位
2024-03-15,sell,3.7,4027,
2024-03-18,buy,3.737,8007,增加基础仓位
2024-03-19,sell,3.71,4003,减少基础仓位
2024-03-19,sell,3.71,4003,
2024-04-29,buy,3.76,7941,增加基础仓位
2024-05-24,sell,3.745,3970,减少基础仓位
2024-05-24,sell,3.745,3970,
2024-07-16,buy,3.688,8086,增加基础仓位
2024-07-25,sell,3.596,4043,减少基础仓位
2024-07-25,sell,3.596,4043,
2024-09-26,buy,3.726,7944,增加基础仓位
2024-09-27,sell,3.992,3972,减少基础仓位
2024-09-27,sell,3.992,3972,
2024-10-09,buy,4.136,7309,增加基础仓位
2024-10-24,sell,4.111,3654,减少基础仓位
2024-10-24,sell,4.111,3654,
2024-11-08,buy,4.307,7005,增加基础仓位
2024-11-13,sell,4.302,3502,减少基础仓位
2024-11-13,sell,4.302,3502,
2024-12-12,buy,4.22,7147,增加基础仓位
2024-12-16,sell,4.1,3573,减少基础仓位
2024-12-16,sell,4.1,3573,
2024-12-26,buy,4.18,7154,增加基础仓位
