time,type,price,shares,note
2022-02-07,buy,4.627,4279,建立基础仓位
2022-02-07,sell,4.627,2139,减少基础仓位
2022-02-07,sell,4.627,2139,
2022-04-06,buy,4.256,4652,增加基础仓位
2022-04-11,sell,4.105,4652,
2022-05-18,buy,3.992,4924,增加基础仓位
2022-06-08,sell,4.223,4924,
2022-06-09,buy,4.191,4744,增加基础仓位
2022-06-24,sell,4.414,4744,
2022-06-27,buy,4.462,4503,增加基础仓位
2022-07-12,sell,4.356,4503,
2022-08-17,buy,4.281,4671,增加基础仓位
2022-08-24,sell,4.148,2335,减少基础仓位
2022-08-24,sell,4.148,2335,
2022-11-08,buy,3.816,5208,增加基础仓位
2022-12-05,sell,4.01,5208,
2022-12-06,buy,4.029,4982,增加基础仓位
2022-12-20,sell,3.898,4982,
